"index","person","total_sales","total_profit","profit_margin"
"0","Nicole Hansen","66928.17","17817.39","0.27"
"1","Shirley Daniels","848309.7809999981","165578.4210000004","0.2"
"2","Nora Preis","752826.5669999978","132480.1870000003","0.18"
"3","Jack Lebron","1248165.6025199995","194597.9525200008","0.16"
"4","Matt Collister","725457.8244999961","108418.4489000003","0.15"
"5","Kelly Williams","678781.2399999935","91522.7800000001","0.13"
"6","Anna Andreadi","2822302.5199399963","311403.9816399976","0.11"
"7","Deborah Brumfield","783773.2109999972","88871.631","0.11"
"8","Anthony Jacobs","1100184.6119999948","120089.1120000002","0.11"
"9","Giulietta Dortch","324280.8610400009","34571.32104","0.11"
"10","Chuck Magee","1600907.040879991","140355.7661799999","0.09"
"11","Larry Hughes","806161.3109999954","43897.971","0.05"
"12","Alejandro Ballentine","884423.1690000044","17852.329","0.02"
